Horas_Estudio,Asistencia,Involucramiento_Padres,Nivel_Recursos,Actividades_Extracurriculares,Horas_Suenio,Notas_Previas,Nivel_Motivacion,Acceso_Internet,Clases_con_Tutor,Ingresos_Familiares,Calidad_Docente,Tipo_Escuela,Influencia_de_Pares,Actividad_Fisica,Dificultades_Aprendizaje,Nivel_Educacion_Padres,Distancia_Escuela,Sexo,Nota_Examen
16,90,Medio,Medio,No,4,58,Medio,Si,1,Bajo,Medio,Publico,Neutral,3,No,Secundario,Medio,Femenino,66
18,66,Alto,Alto,No,4,51,Bajo,Si,2,Bajo,Medio,Private,Neutral,2,No,Universitario,Cerca,Masculino,64
16,83,Bajo,Medio,No,6,57,Medio,Si,0,Alto,Bajo,Publico,Positivo,4,Si,Secundario,Cerca,Femenino,63
31,70,Medio,Alto,Si,7,66,Medio,Si,1,Alto,Medio,Publico,Negativo,3,No,Universitario,Cerca,Masculino,69
20,69,Medio,Medio,Si,8,96,Medio,Si,2,Medio,Alto,Publico,Positivo,3,No,Secundario,Cerca,Masculino,67
14,60,Alto,Medio,No,5,50,Medio,Si,2,Medio,Medio,Publico,Neutral,3,No,Universitario,,Femenino,61
25,65,Alto,Medio,No,5,90,Medio,Si,2,Medio,Medio,Publico,Positivo,3,No,Universitario,Medio,Femenino,68
13,72,Bajo,Medio,No,6,93,Bajo,Si,1,Bajo,Medio,Publico,Negativo,3,No,Secundario,Cerca,Masculino,61
21,65,Medio,Bajo,Si,7,91,Bajo,Si,2,Medio,Alto,Publico,Positivo,3,No,Secundario,Lejos,Femenino,64
8,99,Medio,Medio,No,9,54,Bajo,Si,2,Bajo,Medio,Publico,Neutral,5,No,Posgrado,Cerca,Femenino,67
12,72,Bajo,Medio,Si,8,84,Medio,Si,1,Bajo,Medio,Publico,Positivo,5,No,Secundario,Cerca,Femenino,63
21,65,Bajo,Medio,Si,6,98,Bajo,Si,1,Medio,Alto,Publico,Negativo,4,No,Secundario,Cerca,Masculino,64
24,68,Alto,Medio,No,8,56,Bajo,Si,3,Alto,Alto,Publico,Neutral,1,No,Universitario,Cerca,Masculino,67
21,84,Medio,Medio,Si,6,52,Bajo,Si,1,Medio,Alto,Publico,Neutral,2,Si,Universitario,Lejos,Femenino,65
19,63,Bajo,Alto,No,7,94,Medio,Si,1,Medio,Medio,Private,Positivo,3,No,Secundario,Medio,Masculino,64
18,94,Medio,Alto,Si,7,82,Medio,Si,3,Medio,Medio,Private,Negativo,2,Si,Universitario,Cerca,Masculino,70
11,98,Medio,Medio,Si,9,82,Bajo,Si,1,Medio,Medio,Private,Positivo,3,No,Posgrado,Lejos,Masculino,68
16,70,Medio,Medio,Si,8,98,Medio,Si,2,Medio,Medio,Publico,Positivo,3,No,Secundario,Medio,Masculino,65
17,78,Medio,Medio,Si,6,88,Medio,Si,1,Medio,Alto,Private,Positivo,3,No,Universitario,Cerca,Femenino,68
26,61,Medio,Bajo,Si,6,70,Medio,Si,2,Bajo,Medio,Publico,Positivo,3,No,Secundario,Medio,Femenino,64
22,86,Bajo,Medio,Si,7,72,Bajo,Si,3,Bajo,Alto,Publico,Positivo,2,No,Secundario,Medio,Masculino,68
9,77,Medio,Medio,No,5,57,Medio,Si,2,Medio,Alto,Publico,Neutral,3,No,Secundario,Cerca,Masculino,63
22,71,Bajo,Medio,Si,7,65,Bajo,Si,1,Medio,Bajo,Publico,Positivo,4,No,Universitario,Medio,Masculino,64
18,68,Alto,Medio,No,7,72,Medio,Si,0,Medio,Medio,Publico,Neutral,3,No,Universitario,Cerca,Masculino,64
16,86,Bajo,Medio,Si,8,63,Medio,Si,2,Medio,Medio,Publico,Positivo,4,No,Secundario,Cerca,Masculino,67
24,77,Alto,Bajo,No,8,96,Medio,Si,0,Medio,Medio,Publico,Neutral,3,No,Secundario,Cerca,Femenino,67
26,67,Medio,Alto,Si,7,51,Bajo,Si,2,Alto,Alto,Private,Neutral,4,Si,Posgrado,Lejos,Femenino,66
26,88,Medio,Alto,Si,5,79,Medio,Si,1,Bajo,Alto,Private,Positivo,4,No,Universitario,Medio,Masculino,72
15,83,Medio,Alto,No,5,89,Bajo,No,1,Medio,Alto,Publico,Neutral,2,Si,Secundario,Cerca,Femenino,65
18,94,Medio,Medio,Si,6,87,Alto,Si,1,Medio,Medio,Publico,Positivo,4,No,Secundario,Cerca,Masculino,71
22,65,Alto,Bajo,No,8,82,Medio,Si,2,Medio,Alto,Publico,Positivo,1,No,Posgrado,Cerca,Femenino,66
26,91,Medio,Bajo,Si,8,71,Medio,Si,0,Bajo,Medio,Private,Neutral,3,No,Secundario,Medio,Masculino,68
17,87,Medio,Medio,No,7,96,Medio,Si,1,Alto,Medio,Publico,Negativo,5,No,Posgrado,Cerca,Femenino,70
19,65,Medio,Medio,Si,10,66,Bajo,Si,0,Bajo,Medio,Publico,Positivo,3,No,Secundario,Medio,Masculino,62
13,88,Bajo,Alto,Si,9,88,Alto,Si,2,Bajo,Alto,Private,Negativo,4,No,Posgrado,Lejos,Masculino,68
13,78,Medio,Alto,Si,9,96,Alto,Si,2,Bajo,Medio,Publico,Neutral,3,No,Universitario,Medio,Masculino,67
25,98,Bajo,Alto,Si,8,56,Medio,No,0,Medio,Alto,Private,Neutral,3,No,Posgrado,Cerca,Masculino,71
28,66,Medio,Alto,Si,8,97,Medio,Si,0,Medio,Medio,Publico,Neutral,2,No,Secundario,Cerca,Masculino,68
20,86,Medio,Medio,Si,8,89,Medio,Si,1,Bajo,Medio,Publico,Negativo,3,No,Posgrado,Cerca,Masculino,69
26,75,Bajo,Alto,Si,4,81,Alto,Si,3,Medio,Alto,Private,Positivo,2,No,Secundario,Medio,Masculino,70
22,98,Medio,Alto,No,5,69,Bajo,No,1,Bajo,Alto,Publico,Negativo,4,No,Secundario,Medio,Femenino,69
16,73,Medio,Medio,No,7,95,Medio,Si,1,Bajo,Medio,Publico,Negativo,4,No,Universitario,Cerca,Masculino,65
22,98,Medio,Bajo,Si,7,52,Medio,No,3,Medio,Medio,Publico,Positivo,3,No,Universitario,Cerca,Femenino,70
29,96,Medio,Bajo,Si,7,72,Medio,Si,1,Bajo,Medio,Publico,Positivo,3,No,Secundario,Medio,Masculino,71
20,71,Medio,Medio,Si,7,88,Medio,Si,1,Bajo,Bajo,Publico,Neutral,4,No,Universitario,Cerca,Femenino,65
29,92,Bajo,Medio,No,4,91,Medio,Si,2,Medio,Medio,Publico,Negativo,1,No,Posgrado,Cerca,Femenino,72
4,100,Alto,Alto,Si,8,60,Alto,Si,0,Medio,Alto,Private,Positivo,4,No,Universitario,Medio,Masculino,69
25,70,Medio,Medio,No,7,52,Medio,Si,1,Medio,Medio,Publico,Positivo,3,No,Posgrado,Cerca,Femenino,66
21,77,Bajo,Medio,Si,7,90,Medio,Si,4,Medio,Medio,Private,Neutral,3,No,Posgrado,Medio,Masculino,68
18,81,Alto,Bajo,Si,8,71,Medio,Si,0,Medio,Medio,Publico,Neutral,3,No,Secundario,Medio,Femenino,65
21,72,Medio,Medio,Si,5,57,Medio,Si,1,Alto,Medio,Publico,Neutral,5,Si,Universitario,Medio,Masculino,64
8,61,Medio,Medio,Si,7,54,Medio,Si,1,Alto,Medio,Publico,Positivo,3,No,Universitario,Cerca,Masculino,60
19,69,Medio,Alto,Si,7,82,Alto,Si,1,Bajo,Medio,Publico,Negativo,2,No,Secundario,Cerca,Masculino,65
22,71,Alto,Medio,No,6,79,Alto,Si,1,Bajo,Bajo,Publico,Positivo,3,No,Secundario,Cerca,Masculino,66
29,78,Alto,Alto,Si,4,93,Bajo,Si,5,Medio,Alto,Publico,Neutral,3,No,Universitario,Cerca,Masculino,74
17,67,Medio,Medio,Si,5,52,Alto,Si,2,Medio,Medio,Private,Negativo,3,No,Secundario,Lejos,Femenino,62
15,95,Medio,Medio,No,7,93,Medio,Si,2,Bajo,Medio,Publico,Positivo,4,No,Universitario,Medio,Masculino,70
17,88,Medio,Alto,Si,7,94,Bajo,Si,0,Medio,Medio,Publico,Neutral,3,No,Secundario,Cerca,Masculino,69
25,63,Medio,Alto,Si,7,72,Medio,Si,3,Medio,Alto,Private,Negativo,4,No,Universitario,Lejos,Masculino,67
22,86,Bajo,Bajo,No,6,54,Medio,Si,2,Medio,Medio,Publico,Neutral,0,No,Secundario,Medio,Masculino,64
17,86,Medio,Alto,No,5,97,Alto,Si,3,Alto,Medio,Publico,Neutral,3,No,Universitario,Cerca,Masculino,71
23,98,Medio,Bajo,Si,7,54,Bajo,Si,0,Medio,Medio,Publico,Negativo,3,No,Universitario,Cerca,Femenino,68
21,60,Alto,Medio,No,7,80,Medio,Si,0,Medio,Alto,Publico,Neutral,4,Si,Universitario,Cerca,Masculino,64
26,70,Medio,Bajo,Si,8,75,Medio,Si,1,Medio,Bajo,Private,Neutral,4,Si,Secundario,Lejos,Femenino,63
16,97,Medio,Medio,Si,6,92,Bajo,Si,0,Alto,Medio,Private,Positivo,4,No,Universitario,Cerca,Masculino,71
18,97,Alto,Medio,Si,4,75,Bajo,Si,0,Bajo,Medio,Publico,Positivo,3,No,Secundario,Medio,Masculino,69
18,89,Alto,Medio,Si,4,73,Medio,Si,3,Alto,Medio,Private,Positivo,2,No,Universitario,Cerca,Femenino,100
11,91,Medio,Medio,No,6,94,Medio,Si,3,Medio,Medio,Publico,Neutral,3,No,Universitario,Medio,Masculino,68
22,64,Bajo,Medio,No,7,98,Bajo,No,1,Medio,Medio,Publico,Negativo,3,No,Secundario,Cerca,Masculino,62
22,81,Medio,Medio,Si,7,77,Bajo,Si,2,Medio,Medio,Publico,Positivo,3,No,Posgrado,Lejos,Femenino,68
20,69,Alto,Alto,Si,6,73,Medio,Si,2,Bajo,Medio,Private,Positivo,3,No,Secundario,Lejos,Masculino,66
19,67,Bajo,Medio,No,5,92,Alto,Si,0,Medio,Medio,Publico,Positivo,3,No,Universitario,Cerca,Masculino,64
12,92,Medio,Medio,No,4,92,Alto,Si,2,Medio,Alto,Publico,Neutral,3,Si,Secundario,Medio,Masculino,67
17,65,Medio,Alto,Si,8,66,Medio,Si,1,Alto,Alto,Publico,Neutral,4,Si,Posgrado,Medio,Femenino,65
18,79,Medio,Medio,Si,7,79,Medio,Si,0,Bajo,Alto,Private,Neutral,3,No,Universitario,Lejos,Masculino,65
15,98,Alto,Medio,No,6,58,Alto,Si,0,Bajo,Alto,Publico,Positivo,3,No,Universitario,Cerca,Masculino,69
19,67,Medio,Medio,No,5,82,Alto,Si,1,Bajo,Bajo,Private,Negativo,3,No,Secundario,Cerca,Masculino,63
22,99,Medio,Bajo,Si,6,92,Bajo,Si,3,Medio,Medio,Publico,Negativo,4,No,Posgrado,Medio,Masculino,72
31,100,Medio,Medio,No,7,59,Medio,Si,2,Alto,Alto,Publico,Positivo,5,No,Posgrado,Medio,Masculino,76
21,82,Medio,Alto,Si,7,66,Alto,Si,3,Bajo,Medio,Publico,Positivo,3,Si,Universitario,Cerca,Femenino,69
22,67,Medio,Medio,Si,7,72,Alto,Si,3,Bajo,Alto,Publico,Positivo,2,No,Posgrado,Medio,Femenino,67
20,73,Alto,Medio,Si,9,92,Medio,Si,2,Medio,Alto,Publico,Positivo,3,No,Universitario,Cerca,Masculino,69
8,77,Alto,Medio,Si,6,87,Medio,Si,0,Bajo,Medio,Publico,Neutral,2,No,Secundario,Medio,Masculino,63
20,72,Medio,Medio,No,9,66,Medio,Si,3,Bajo,Alto,Private,Positivo,3,No,Posgrado,Cerca,Masculino,67
20,71,Bajo,Alto,Si,7,62,Alto,Si,2,Medio,Medio,Publico,Negativo,5,No,Universitario,Cerca,Masculino,66
35,99,Alto,Alto,Si,7,85,Bajo,Si,2,Medio,Alto,Private,Neutral,2,No,Posgrado,Cerca,Femenino,79
19,66,Medio,Medio,No,8,74,Medio,Si,1,Alto,Medio,Publico,Neutral,3,No,Secundario,Cerca,Femenino,64
22,89,Alto,Alto,Si,6,80,Medio,Si,1,Alto,Alto,Publico,Positivo,3,No,Secundario,Cerca,Femenino,73
20,60,Bajo,Alto,No,7,82,Alto,Si,2,Bajo,Alto,Publico,Positivo,4,Si,Secundario,Cerca,Masculino,63
13,84,Medio,Medio,No,5,78,Medio,Si,1,Bajo,Alto,Publico,Positivo,2,No,Secundario,Cerca,Masculino,65
27,97,Bajo,Alto,Si,8,81,Medio,Si,0,Alto,Medio,Publico,Positivo,5,No,Secundario,Cerca,Femenino,73
25,72,Alto,Alto,Si,8,94,Bajo,Si,2,Bajo,Medio,Private,Positivo,4,No,Universitario,Medio,Femenino,70
25,67,Alto,Medio,No,9,93,Alto,Si,2,Bajo,Alto,Publico,Positivo,3,Si,Secundario,Cerca,Femenino,68
15,86,Medio,Medio,Si,7,57,Medio,Si,1,Medio,Medio,Publico,Negativo,3,No,Universitario,Cerca,Masculino,65
28,89,Bajo,Alto,Si,9,79,Alto,Si,0,Bajo,Medio,Private,Positivo,1,No,Universitario,Medio,Femenino,71
12,88,Bajo,Medio,No,6,72,Bajo,Si,2,Medio,Medio,Publico,Positivo,2,No,Universitario,Lejos,Masculino,64
24,73,Medio,Alto,Si,8,64,Medio,Si,4,Alto,Medio,Private,Neutral,3,Si,Universitario,Medio,Masculino,68
33,70,Medio,Medio,Si,6,82,Bajo,Si,1,Bajo,Alto,Publico,Neutral,4,No,Universitario,Cerca,Masculino,69
14,98,Medio,Medio,No,7,76,Medio,Si,0,Medio,Alto,Private,Positivo,4,No,Universitario,Medio,Femenino,69
17,97,Medio,Medio,No,8,89,Medio,Si,1,Bajo,,Publico,Neutral,4,No,Secundario,Lejos,Masculino,69
21,78,Medio,Medio,Si,10,55,Medio,Si,1,Alto,Bajo,Private,Positivo,2,No,Universitario,Cerca,Masculino,67
17,94,Bajo,Medio,Si,8,65,Bajo,Si,4,Medio,Medio,Publico,Neutral,6,No,Secundario,Lejos,Femenino,68
11,78,Medio,Alto,Si,8,51,Medio,Si,2,Bajo,Medio,Publico,Neutral,3,No,Posgrado,Cerca,Masculino,64
20,77,Medio,Medio,No,6,87,Bajo,Si,0,Bajo,Alto,Publico,Positivo,4,No,Secundario,Cerca,Femenino,66
14,66,Alto,Bajo,No,7,96,Medio,Si,3,Bajo,Alto,Publico,Negativo,3,No,Secundario,Cerca,Masculino,63
23,77,Medio,Medio,Si,7,79,Medio,Si,0,Bajo,Alto,Publico,Neutral,2,No,Secundario,Medio,Masculino,66
14,81,Medio,Medio,No,9,81,Medio,Si,1,Bajo,Alto,Private,Negativo,3,No,Posgrado,Cerca,Femenino,66
29,61,Medio,Alto,Si,7,52,Bajo,Si,3,Bajo,Medio,Private,Positivo,3,No,Universitario,Cerca,Femenino,67
15,78,Alto,Alto,No,9,75,Bajo,Si,1,Bajo,Medio,Publico,Negativo,1,No,Secundario,Cerca,Masculino,65
18,91,Bajo,Medio,Si,5,76,Medio,Si,1,Medio,Medio,Publico,Neutral,3,No,Secundario,Cerca,Femenino,68
25,87,Medio,Bajo,No,9,52,Alto,Si,1,Bajo,Alto,Private,Positivo,2,No,Secundario,Cerca,Masculino,68
13,85,Alto,Medio,No,6,89,Medio,Si,0,Alto,Medio,Private,Neutral,1,Si,Secundario,Cerca,Masculino,65
21,96,Medio,Medio,No,8,64,Alto,Si,2,Medio,Alto,Publico,Neutral,0,No,Universitario,Cerca,Masculino,71
28,61,Medio,Alto,No,6,86,Alto,Si,1,Bajo,Medio,Private,Negativo,3,Si,Posgrado,Lejos,Masculino,65
10,82,Medio,Bajo,No,8,70,Medio,Si,3,Bajo,Alto,Publico,Positivo,1,Si,Posgrado,Cerca,Femenino,64
21,91,Alto,Medio,No,6,100,Medio,Si,0,Alto,Medio,Private,Neutral,2,No,Posgrado,Cerca,Femenino,72
22,82,Medio,Medio,No,9,61,Medio,Si,2,Bajo,Medio,Publico,Negativo,2,Si,Secundario,Cerca,Femenino,65
25,73,Medio,Alto,No,8,53,Alto,No,0,Bajo,Alto,Private,Negativo,5,No,Posgrado,Cerca,Femenino,66
13,65,Bajo,Alto,No,6,99,Medio,Si,0,Bajo,Medio,Private,Negativo,4,No,Secundario,Cerca,Masculino,61
12,96,Bajo,Alto,Si,8,62,Medio,Si,2,Medio,Alto,Publico,Negativo,3,No,Universitario,Cerca,Femenino,68
23,79,Alto,Alto,Si,8,82,Bajo,Si,3,Medio,Medio,Publico,Negativo,3,Si,Posgrado,Medio,Femenino,69
22,95,Medio,Alto,Si,6,69,Medio,Si,1,Bajo,Medio,Publico,Positivo,3,No,Universitario,Cerca,Femenino,72
22,83,Medio,Alto,Si,5,82,Medio,Si,2,Bajo,Alto,Publico,Positivo,3,No,Posgrado,Cerca,Femenino,71
22,87,Alto,Alto,No,5,80,Bajo,Si,2,Bajo,Alto,Publico,Negativo,3,No,Secundario,Cerca,Femenino,70
16,92,Medio,Alto,Si,5,85,Bajo,Si,1,Bajo,Medio,Publico,Neutral,2,No,Secundario,Medio,Masculino,68
21,86,Bajo,Medio,Si,5,51,Medio,Si,2,Bajo,Alto,Publico,Positivo,2,No,Secundario,Medio,Femenino,67
22,76,Medio,Medio,Si,8,92,Medio,Si,1,Bajo,Alto,Publico,Neutral,4,No,Secundario,Cerca,Femenino,68
16,81,Medio,Medio,Si,8,74,Medio,Si,3,Medio,Medio,Publico,Positivo,2,No,Posgrado,Cerca,Femenino,68
31,92,Medio,Medio,Si,4,76,Medio,Si,2,Medio,Alto,Publico,Positivo,4,Si,Secundario,Lejos,Masculino,72
23,75,Bajo,Alto,No,6,71,Bajo,Si,0,Medio,Medio,Publico,Neutral,2,No,Universitario,Cerca,Masculino,65
13,76,Medio,Alto,No,5,99,Bajo,Si,2,Medio,Medio,Private,Positivo,4,No,Secundario,Cerca,Femenino,66
24,64,Medio,Medio,Si,8,90,Alto,Si,0,Bajo,Alto,Publico,Negativo,3,No,Secundario,Cerca,Masculino,65
14,97,Medio,Medio,Si,6,66,Medio,Si,2,Medio,Medio,Publico,Negativo,3,Si,Universitario,Cerca,Femenino,67
25,64,Medio,Alto,No,5,89,Bajo,Si,2,Medio,Medio,Publico,Neutral,4,No,Universitario,Lejos,Masculino,66
27,86,Medio,Medio,No,7,72,Bajo,Si,1,Medio,Alto,Publico,Positivo,4,No,Secundario,Lejos,Masculino,69
15,77,Medio,Medio,Si,8,94,Bajo,Si,0,Alto,Alto,Publico,Positivo,3,No,Universitario,Medio,Masculino,66
26,76,Medio,Alto,Si,6,52,Medio,Si,4,Alto,Bajo,Publico,Neutral,3,No,Secundario,Cerca,Masculino,69
22,87,Alto,Bajo,Si,7,68,Medio,No,0,Bajo,Medio,Publico,Neutral,2,No,Secundario,Cerca,Masculino,67
25,63,Alto,Medio,Si,6,71,Medio,Si,1,Medio,Bajo,Private,Positivo,3,No,Secundario,Cerca,Masculino,66
31,84,Medio,Medio,Si,9,87,Medio,Si,2,Bajo,Medio,Private,Neutral,3,No,Universitario,Lejos,Masculino,71
19,91,Alto,Bajo,No,6,59,Medio,Si,5,Medio,Alto,Publico,Neutral,4,No,Universitario,Medio,Masculino,70
15,93,Alto,Medio,No,6,64,Medio,Si,2,Medio,Alto,Publico,Positivo,4,No,Posgrado,Cerca,Masculino,71
15,67,Medio,Medio,Si,7,86,Alto,Si,1,Alto,Medio,Private,Positivo,3,No,Posgrado,Cerca,Masculino,66
15,96,Medio,Medio,No,7,54,Alto,No,3,Medio,Alto,Publico,Negativo,2,No,Secundario,Cerca,Masculino,67
20,86,Alto,Bajo,No,8,60,Medio,Si,1,Medio,Medio,Publico,Neutral,4,Si,Universitario,Lejos,Femenino,66
22,95,Medio,Alto,No,9,88,Bajo,Si,0,Bajo,Alto,Publico,Positivo,2,No,Posgrado,Cerca,Masculino,72
22,79,Medio,Medio,No,9,94,Medio,Si,1,Medio,Medio,Publico,Positivo,3,No,Secundario,Cerca,Masculino,68
25,82,Medio,Medio,No,6,86,Medio,No,3,Bajo,Alto,Publico,Positivo,3,No,Secundario,Cerca,Femenino,69
20,97,Medio,Medio,Si,7,76,Bajo,Si,2,Bajo,Bajo,Private,Positivo,3,No,Posgrado,Cerca,Masculino,71
29,96,Medio,Medio,Si,9,55,Bajo,No,0,Medio,Medio,Publico,Neutral,2,No,Posgrado,Lejos,Femenino,70
18,78,Medio,Medio,No,9,91,Alto,Si,2,Alto,Bajo,Publico,Neutral,4,No,Universitario,Lejos,Femenino,67
36,71,Medio,Medio,Si,6,56,Medio,Si,2,Alto,Medio,Publico,Positivo,2,No,Secundario,Lejos,Masculino,69
24,76,Bajo,Alto,No,8,69,Bajo,Si,2,Medio,Medio,Publico,Neutral,1,No,Secundario,Medio,Masculino,65
15,76,Alto,Alto,No,8,53,Medio,Si,1,Bajo,Medio,Publico,Neutral,4,No,Universitario,Cerca,Masculino,65
14,71,Medio,Medio,Si,8,85,Bajo,Si,2,Medio,Alto,Publico,Neutral,4,No,Secundario,Cerca,Masculino,64
23,71,Bajo,Bajo,Si,9,75,Bajo,Si,1,Bajo,Medio,Publico,Negativo,2,No,Universitario,Cerca,Masculino,63
19,94,Bajo,Medio,Si,5,95,Medio,Si,3,Bajo,Bajo,Publico,Positivo,2,No,Secundario,Medio,Masculino,69
24,63,Medio,Bajo,Si,6,57,Medio,Si,1,Bajo,Alto,Private,Neutral,5,No,Universitario,Cerca,Femenino,64
23,87,Alto,Alto,Si,8,91,Alto,Si,0,Alto,Medio,Private,Positivo,3,No,Secundario,Medio,Masculino,72
20,67,Bajo,Medio,Si,7,76,Medio,Si,0,Medio,Medio,Publico,Neutral,4,No,Secundario,Cerca,Masculino,63
15,74,Bajo,Alto,Si,4,68,Bajo,Si,3,Bajo,Medio,Publico,Positivo,3,No,Secundario,Cerca,Femenino,64
11,62,Medio,Alto,Si,5,82,Medio,Si,3,Alto,Medio,Private,Neutral,4,No,Universitario,Medio,Masculino,64
17,71,Medio,Medio,Si,8,90,Medio,Si,5,Medio,Medio,Publico,Positivo,1,No,Posgrado,Lejos,Masculino,67
25,91,Medio,Medio,No,8,72,Bajo,Si,2,Medio,Alto,Publico,Positivo,0,No,Posgrado,Cerca,Masculino,71
21,95,Medio,Medio,No,5,62,Alto,Si,1,Medio,Bajo,Publico,Positivo,4,No,Secundario,Cerca,Masculino,70
13,69,Medio,Bajo,Si,9,96,Bajo,Si,0,Alto,Medio,Private,Neutral,4,No,Secundario,Lejos,Femenino,61
21,79,Medio,Alto,Si,7,66,Bajo,Si,2,Bajo,Medio,Publico,Negativo,4,No,Universitario,Medio,Masculino,67
22,79,Alto,Medio,No,5,100,Medio,Si,4,Alto,Alto,Publico,Negativo,3,No,Universitario,Cerca,Masculino,72
15,95,Bajo,Bajo,Si,6,88,Bajo,Si,1,Bajo,Medio,Publico,Negativo,5,No,Secundario,Cerca,Masculino,66
21,91,Medio,Alto,Si,5,84,Medio,Si,1,Alto,Bajo,Publico,Neutral,2,No,Secundario,Cerca,Masculino,70
20,81,Alto,Medio,Si,6,51,Alto,No,3,Medio,Medio,Publico,Neutral,4,Si,Secundario,Cerca,Masculino,67
13,87,Alto,Bajo,Si,4,72,Medio,Si,2,Medio,Alto,Publico,Neutral,3,No,Secundario,Medio,Femenino,67
22,94,Bajo,Medio,Si,7,75,Alto,Si,2,Alto,Medio,Publico,Neutral,2,No,Universitario,Cerca,Femenino,71
23,60,Alto,Medio,Si,8,69,Medio,Si,1,Bajo,Medio,Private,Positivo,4,No,Universitario,Cerca,Masculino,66
26,76,Medio,Medio,Si,5,57,Medio,Si,1,Medio,Medio,Publico,Positivo,4,No,Secundario,Cerca,Masculino,68
26,96,Medio,Medio,Si,7,68,Medio,Si,3,Alto,Medio,Private,Positivo,3,No,Universitario,Cerca,Femenino,74
12,90,Medio,Bajo,Si,6,54,Medio,No,1,Alto,Medio,Publico,Neutral,3,No,Secundario,Cerca,Masculino,64
